服务,3494
酒店,3064
不错,1992
房间,1814
服务员,1071
热情,921
入住,810
特别,758
济南,637
早餐,625
环境,602
干净,571
设施,570
前台,525
下次,520
水果,499
满意,427
服务态度,425
位置,423
感觉,409
刘志悦,407
张雨,391
推荐,384
卫生,350
很棒,325
周到,322
交通,321
人员,305
客房,296
还会,280
孩子,280
贴心,277
感谢,274
选择,247
办理,228
真的,220
行李,218
服务周到,217
舒服,216
齐全,216
值得,216
便利,212
很大,200
喜欢,197
送到,196
前厅,195
态度,187
小姑娘,187
出差,186
点赞,180
菜品,179
陈玉柳,176
性价比,175
热情周到,173
酸奶,168
帮忙,167
朋友,163
介绍,163
体验,162
大堂,160
停车场,158
西站,157
温馨,155
西客站,153
这家,151
礼物,147
国际,146
好好,146
美女,143
舒适,142
接待,140
整洁,139
好吃,138
高铁,136
停车,136
到位,136
还给,132
距离,127
主动,125
餐厅,125
超级,121
很近,120
郭冬梅,120
价格,119
晚上,117
经理,116
赠送,111
设备,110
海鲜,109
霍宣锦,109
每次,107
少华,106
陈金凤,105
门口,105
谢谢,104
出行,104
细心,103
第一次,100
好评,98
丰盛,97
张震,96
退房,94
吃饭,94
酒店设施,93
免费,93
工作人员,89
装修,87
整体,87
分钟,84
马启云,84
地理位置,82
王培培,82
总体,80
表扬,80
送来,79
适合,77
很快,77
二楼,77
拖鞋,75
还来,75
自助餐,74
亲切,74
小伙子,72
细致,72
打车,72
吕桂芳,71
姑娘,71
客人,71
地方,71
住宿,69
开心,68
餐饮,68
一家,67
安排,66
特意,66
赵翠,66
五星,62
用心,62
高速,62
服务生,61
用餐,61
枕头,61
烤肉,60
窗户,60
沈瑶,59
商务,58
安静,58
升级,58
员工,57
不好,57
旅游,56
李晓敏,56
感动,56
完善,55
果盘,54
玩具,54
李玲,54
设备齐全,54
一流,53
王新静,53
点菜,53
一位,52
一楼,51
有个,51
预定,51
宾至如归,51
优越,51
硬件,51
优秀,51
刘继红,50
儿童,50
品种,50
董凯丽,49
口味,49
第二天,49
周边,49
新鲜,48
宽敞,48
热心,48
大姐,48
机会,48
山东,48
时间,48
东西,48
提供,48
大床,47
味道,47
五星级,46
礼品,46
礼宾,45
希望,45
环境优美,45
引领,45
记忆,44
耐心,44
漂亮,44
非常感谢,44
两个,44
豪华,44
棒棒,43
首选,43
专业,43
林丽娟,42
开车,42
出门,42
一点,41
贵宾楼,41
小姐,41
很漂亮,40
大气,40
礼貌,40
自助,40
大厅,39
工作,39
种类,39
打扫,39
携程,39
宜家,39
体贴,38
巴西,37
一如既往,37
空调,37
超好,37
完美,37
特别感谢,37
网上,36
出租车,36
早上,36
一进,36
家人,36
还会来,36
挺不错,35
接待员,35
高大,35
大宝,34
评价,34
刘秀婷,34
进门,34
游玩,34
速度,34
点心,34
发现,34
女士,34
卫生间,33
同事,33
细节,33
惊喜,33
服务到位,33
感受,33
真心,32
宝宝,32
帅哥,32
小孩,32
来到,32
热情服务,32
超赞,31
印象,31
唯一,31
不远,31
太好了,31
矿泉水,31
情况,30
询问,30
孙龙甲,30
路上,29
管家,29
特色,29
老人,29
小朋友,29
晚餐,29
用品,28
很赞,28
咖啡,28
有礼,28
刘正芳,28
解决,28
王靖文,28
一路,28
满分,28
微笑,27
回来,27
舒心,27
建议,27
客户,27
自助餐厅,27
电梯,27
还好,27
确实,27
小美女,27
田广松,26
会议,26
可爱,26
阿姨,26
提前,26
引导,25
王天琪,25
吕许,25
楼下,25
肖珂,25
优雅,25
隔音,25
好找,25
刘玉莹,25
车程,24
标准,24
齐吉超,24
小姐姐,24
没得说,24
带到,24
更好,24
十路,24
浴缸,24
点个,23
景点,23
高架桥,23
一种,23
电脑,23
实惠,23
车位,23
关键,23
管理,23
客服,23
留下,23
热情接待,23
迎宾,23
空间,23
内窗,22
星级,22
部张,22
照顾,22
环境卫生,22
更是,22
感冒,22
吕文聪,22
公交车,21
西部,21
陈超,21
饼干,21
业务,21
美味,21
主管,21
客房部,21
周边环境,21
碰到,21
配套,21
小伙,21
领班,21
公园,21
套房,21
许晨雨,21
第二次,21
经十,21
档次,21
几次,20
广场,20
曹瑞姿,20
上档次,20
旁边,20
李靖,20
市中心,20
到达,20
董厨,20
点评,20
提出,20
双双,20
高架,20
学飞,20
陈旧,20
零食,20
打包,19
西边,19
超高,19
回家,19
挺大,19
有人,19
生意,19
深刻,19
详细,19
和谐,19
旅行,19
面积,19
好客,19
不到,19
布置,19
条件,19
人性化,19
领导,19
出游,18
合适,18
楼层,18
回到,18
靠近,18
设计,18
趵突泉,18
大方,18
挂件,18
大明湖,18
强烈推荐,18
中午,18
标间,18
购物,18
温暖,18
杨爱杰,18
得知,18
熟练,18
愉快,17
正好,17
没说的,17
笑容,17
超值,17
引领到,17
听说,17
彩云,17
微笑服务,17
牙刷,17
名不虚传,17
两位,17
同学,17
稍微,17
预订,17
好像,17
好多,17
甜美,17
下午,17
全程,17
可口,17
位于,17
内部,17
休息,16
一杯,16
专职,16
宾馆,16
实习生,16
对面,16
小点心,16
李霄,16
订房,16
火车站,16
便捷,16
市区,16
不算,16
净化器,16
房型,16
高档,16
协调,16
几个,16
门前,16
哈哈哈,16
停车位,16
帅气,16
居住,15
实在,15
公里,15
风格,15
同志,15
算是,15
婚宴,15
下车,15
公交,15
