宗博,豪华双床房,Jan-20,2020/1/6,这次又是取道济南赴苏杭，主要是下高速方便到达。下午6点雨夹雪中到达，停车场依然满位，门前服务人员引导先停于一旁，帮助将行李放到前台，赞下帅哥。误选的单早在前台提示下改为双早，踏实了心情。水果入门，还很新鲜，小饰物再次收藏。房间如我们最爱的开元，适宜、适度。早餐不错，只是甜点放在风冷的冰柜中\，口感略干。总体满意，上次分公司的会议我也推荐了这里。,积极,4.8,情侣出游,https://dimg04.c-ctrip.com/images/230p1c000001ciuonA4DD_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23061c000001ckc8w2FB3_W_640_640_Q50.jpg,,,,,,,,,,,,,,
202052****,豪华大床房,Nov-19,2019/11/8,经常出差，住过很多很多的酒店，极少评论，这次入住舜和，忍不住写几句。舜和员工服务态度超好，无论在酒店内任何时间和地点，稍微有点困惑或问题，都会有酒店员工主动上前询问解决，服务态度在国内算一流的。尤其是四楼服务员刘正芳，让人如浴春风。硬件设施不用说了，见图，每天还会送水果点心和酸奶。,积极,5,商务出差,https://dimg04.c-ctrip.com/images/23061a0000018p1gg0595_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230o1a0000018n9ep8156_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230r1a0000018muas97C4_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23021a0000018vhyk5101_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23081a0000018om3t7EA5_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230s1a0000018vapx8651_W_640_640_Q50.jpg,,,,,,,,,,
合山卫子夫,商务双床房,Nov-19,2019/11/18,酒店进门非常宽敞明亮，有许多会议及婚宴，人流量非常大，吃饭的人也比较多，给升级到豪华房间，非常敞亮。,积极,5,情侣出游,https://dimg04.c-ctrip.com/images/230n1a00000190sepC4B2_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230e1a00000194h8a9139_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23051a000001948feDAB4_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230p1a00000190v0j9EB5_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230h1a00000193aul5405_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23071a0000019iet85251_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230t1a00000191rykB5FD_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230k1a00000195wrw3350_W_640_640_Q50.jpg,bigImage': 'https://dimg04.c-ctrip.com/images/23091a000001944q70227_W_640_640_Q50.jpg,,,,,,,
天天天蓝天天天,豪华双床房,Oct-19,2019/10/6,早餐种类较多，但热菜少，水果新鲜，粥少点，混沌和面条，周村烧饼很好，面包也好。可以加床，两张床也可以拼一起，适合带小朋友，楼下停车场大，服务人员态度好，到预订价格和取消等携程有虚假宣传的嫌疑，需要注意。位置离快速路近，导航准确。,消极,5,家庭亲子,https://dimg04.c-ctrip.com/images/2309190000015vcps72AB_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230p190000015s2zoB3D0_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/2308190000015t57o5BC7_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230b190000015vc6w6885_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230r190000015rdehA01F_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/2309190000015vcpv2348_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230e190000015vp7w6185_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230v1900000163zx7C559_W_640_640_Q50.jpg,,,,,,,,
黑心的巧虎,商务大床房,Dec-19,2020/1/2,酒店环境设施都挺好，床睡着也挺舒服，房间还有给准备的水果酸奶。唯一美中不足的就是地上有个烟头，希望以后注意。,积极,4.5,情侣出游,https://dimg04.c-ctrip.com/images/230h1c000001c6rs31683_W_640_640_Q50.jpg,,,,,,,,,,,,,,,
刘灿生,商务双床房,Dec-19,2019/12/31,早餐很丰盛！菜品特色好！前台热情！保洁阿姨不怕脏打扫喝醉的客人呕吐物！点赞下次去出差还会选择这家酒店！,积极,5,商务出差,https://dimg04.c-ctrip.com/images/23031b000001c23an9301_W_640_640_Q50.jpg,,,,,,,,,,,,,,,
天道酬勤乾坤大挪移,商务大床房,Nov-19,2019/11/9,前厅服务员 孟春雨 吕庚辰服务热情，在办理入住的时候，为孩子准备热水，替我们全家把行李送到房间。服务态度很好，点个赞。下次还来，特别是孟春雨小姑娘笑的太美了，孩子特别喜欢这位小姐姐。,积极,5,商务出差,https://dimg04.c-ctrip.com/images/23081a0000018plh9ADA5_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/23081a0000018plhaD608_W_640_640_Q50.jpg,,,,,,,,,,,,,,
小龙包包,豪华双床房,Nov-19,2019/11/30,特别舒服的酒店房间，床品干净床舒适，前台接待服务很周到很及时很耐心。一次非常非常好的驾车出行休息酒店。,积极,5,其他,https://dimg04.c-ctrip.com/images/230a1a0000019vsxd8DFD_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230d1a0000019t03o7921_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230k1a0000019ynxdC221_W_640_640_Q50.jpg,,,,,,,,,,,,,
_WeChat267579****,豪华双床房,Oct-19,2019/10/4,服务人员服务热情，送了两个小挂件，每天有欢迎水果和酸奶，孩子们喜欢的了不得。早餐还可以，该有的都有。周边去方特和逛街都比较方便。对于周边其他酒店来说，算是性价比比较高的的。退房很快。以后有机会好会选择这里。刚刚入住那天有五场婚礼，办理入住人也很多，特别感谢这两位工作人员的帮忙。,积极,5,家庭亲子,https://dimg04.c-ctrip.com/images/2302190000015x6zxF6E3_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230v19000001615v4DFD0_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230u190000015q3538679_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/2308190000015qb5u64CA_W_640_640_Q50.jpg,,,,,,,,,,,,
天天爬2楼,豪华大床房,Dec-19,2019/12/20,酒店服务太贴心了，拿到卡上楼顺口问一句房间在哪里，服务员直接把我带到门口，点个房间送餐也是贴心到不行，送的水果只能说我实在是吃不完....,消极,5,商务出差,https://dimg04.c-ctrip.com/images/23081b000001b977a2106_W_640_640_Q50.jpg,,,,,,,,,,,,,,,
M11019****,豪华大床房,Oct-19,2019/10/6,非常好，五星标准，价位非常格式，一入房间就摆好了送的果盘和点心，服务人员和接待人员也很棒，干净整洁还会再来～,消极,5,家庭亲子,https://dimg04.c-ctrip.com/images/230t190000015ukuy3292_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230b190000015wx4b206F_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230f190000015ujv2D06A_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230h190000015w3qvE2D3_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230r190000015sybuD67C_W_640_640_Q50.jpg,,,,,,,,,,,
冰冰木头,商务双床房,Oct-19,2019/10/7,这是我们第二次入住这家酒店。酒店整体没说的，非常好，有一个很大的停车场，不用担心停车。房间非常整洁，很干净，有入住水果，酸奶，小纪念品。前台也很热情，走的时候详细询问了我的入住体验，问我的意见，非常好。枕头是记忆棉的，很舒服。总之，这次入住很满意。,积极,5,家庭亲子,https://dimg04.c-ctrip.com/images/230e190000015xei3F0DF_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230m19000001641c8631E_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230a190000015vz27C4AF_W_640_640_Q50.jpg,,,,,,,,,,,,,
甜甜甜蜜蜜_,温馨亲子房,Oct-19,2019/10/7,服务强大，看到有宝宝，准备了零食酸奶水果玩具，连围栏都上好了。田广松经理从下单到确认热情服务，积极帮忙解决问题，各方面都很棒，下次去济南，还会选择入住舜和。,积极,5,情侣出游,https://dimg04.c-ctrip.com/images/230i190000015thhjBA56_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230q190000015vyes61B0_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230s1900000161jmb1FA8_W_640_640_Q50.jpg,,,,,,,,,,,,,
_WeChat259595****,豪华双床房,Oct-19,2019/10/3,从5年前去济南就一直住这里，环境卫生都不错，特别是这次接待我们的服务员（范玮清）的热情和细心，真是满满的感动，好像回家的感觉！但是不知道什么原因，水池所放的水始终是黄色的，折腾了半夜也没有给我们解决，希望能得到好的改善,中性,4,家庭亲子,https://dimg04.c-ctrip.com/images/230p190000015oaf417F8_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230v19000001607ct0043_W_640_640_Q50.jpg,,,,,,,,,,,,,,
摩押施琅,豪华双床房,Oct-19,2019/10/3,对住的一向很挑剔，从北京过来，由于带着孩子，酒店标间给升级了亲子房，孩子喜欢的不得了，酒店设施可以说是超五星，洁具以及床上用品也都是高品质，枕头是乳胶枕，床的软硬度适中，一楼是烤肉自助，楼上是海鲜大餐，可以满足不同需求的你，早餐很丰富，79元一位.服务更贴心，送果盘还有酸奶，说实话城市不算惊艳，但酒店着实让我们很感觉很舒服，下次来还会来这住，,积极,5,家庭亲子,https://dimg04.c-ctrip.com/images/2302190000015v91r4712_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230j190000015noqf6168_W_640_640_Q50.jpg,,,,,,,,,,,,,,
M319350****,商务房,Oct-19,2019/10/3,早餐非常丰盛，“众口能调”，我们就是因为有老有小调了房间，酒店工作人员没有丝毫迟疑第一时间为我们调换，那位美女工作人员叫尹霞，总是从房客的需求出发随时提供各种帮助，怕小孩子吵闹还送给她小礼物，退房时我女儿竟然都不想回家了，怕老人烧水不方便还提前把热水烧好，太贴心了。酒店设施也很人性化，非常温馨，绝对值得推荐，超级超值！,积极,5,家庭亲子,https://dimg04.c-ctrip.com/images/230g190000015pcfhF069_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/2305190000015r5py4412_W_640_640_Q50.jpg,,,,,,,,,,,,,,
_WeChat231173****,豪华双床房,Oct-19,2019/10/3,带孩子去皮肤病医院看脚上的痦子，选了一家比较近的酒店，服务非常好，记忆枕，挺干净，床也很舒服，晚上有送水果和礼物，第二天孩子咬了个疙瘩，服务员知道了，拿了花露水和防蚊手环，一会有送来了水果和礼物，孩子很高兴，下次还会选择住这里,积极,5,家庭亲子,https://dimg04.c-ctrip.com/images/2304190000015neg6406B_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230719000001653pu5D57_W_640_640_Q50.jpg,,,,,,,,,,,,,,
M366576****,豪华双床房,Jan-20,2020/1/4,舜和酒店基本还是不错的，两次来济南都住在这儿，房间干净，性价比高，服务人性化，停车场很大，舒适温馨！唯一让我们觉得酒店不够现代的是，浴室没有淋浴间，而是一个浴缸。住酒店一般人都不会泡浴缸的，要洗澡就要跨来跨去的站在缸里洗，十分不方便。,消极,4.5,朋友出游,,,,,,,,,,,,,,,,
M12735****,豪华双床房,Oct-19,2019/10/25,瞬和国际酒店，服务优质，为超一流。早歺档次高。种类较多。有宾至如归感觉。,积极,4.8,其他,https://dimg04.c-ctrip.com/images/230u190000017q352D2B3_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230t190000017q5wa7DC0_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230119000001831fz647B_W_640_640_Q50.jpg,https://dimg04.c-ctrip.com/images/230w190000017w5eh8C00_W_640_640_Q50.jpg,,,,,,,,,,,,
_CFT0225132****,商务双床房,Oct-19,2019/10/9,平常不怎么发评论，因为带着孩子，作为父母的比较矫情。言归正传，酒店不管位置和设施都还不错，早餐也比较丰盛，口味也不错，难受就难受在吃完早餐，带着孩子在餐厅里的游乐场玩，竟然在休息的沙发上有“翔”。告知服务员来处理一下，竟然等我们玩完走的时候，都没有一个人来处理。酒店的卫生和管理可见一般了。,积极,2.8,家庭亲子,https://dimg04.c-ctrip.com/images/230519000001613x0CBDC_W_640_640_Q50.jpg,,,,,,,,,,,,,,,
